Country;Age_group;Sex;COP;n;x;Prevalence;lower;upper;p_value_Age_group;p_value_Sex
LT;Total;Total;PT≥100;500;32;5.83;3.29;8.97;0.14238;0.19098
NL;40-49;Males;PT≥100;318;19;5.3;2.31;9.21;;
NL;40-49;Females;PT≥100;512;22;3.07;1.04;5.69;;
NL;40-49;Total;PT≥100;830;41;3.9;2.13;6.03;;0.25436
NL;50-59;Males;PT≥100;334;24;6.89;3.65;10.97;;
NL;50-59;Females;PT≥100;480;24;3.99;1.73;6.89;;
NL;50-59;Total;PT≥100;814;48;5.16;3.2;7.48;;0.19218
NL;Total;Males;PT≥100;652;43;6.08;3.79;8.83;0.53404;
NL;Total;Females;PT≥100;992;46;3.49;1.92;5.38;0.59336;
NL;Total;Total;PT≥100;1644;89;4.51;3.15;6.05;0.38984;0.08086
NO;40-49;Males;PT≥100;0;0;;;;;
NO;40-49;Females;PT≥100;0;0;;;;;
NO;40-49;Total;PT≥100;251;19;7.41;3.65;12.29;;
NO;50-59;Males;PT≥100;0;0;;;;;
NO;50-59;Females;PT≥100;0;0;;;;;
NO;50-59;Total;PT≥100;251;28;12.13;7.51;17.78;;
NO;Total;Males;PT≥100;0;0;;;;;
NO;Total;Females;PT≥100;0;0;;;;;
NO;Total;Total;PT≥100;502;47;9.73;6.64;13.37;0.1669;
PT;40-49;Males;PT≥100;125;8;5.96;1.4;12.82;;
PT;40-49;Females;PT≥100;125;2;0;0;4.04;;
PT;40-49;Total;PT≥100;250;10;2.72;0.09;6.57;;0.04734
PT;50-59;Males;PT≥100;125;8;5.96;1.4;12.82;;
PT;50-59;Females;PT≥100;125;3;0.7;0;5.66;;
PT;50-59;Total;PT≥100;250;11;3.25;0.47;7.25;;0.12054
PT;Total;Males;PT≥100;250;16;5.88;2.44;10.46;0;
PT;Total;Females;PT≥100;250;5;0.09;0;3.08;0.90532;
PT;Total;Total;PT≥100;500;21;2.94;0.92;5.57;0.82568;0.01252
RO;40-49;Males;PT≥100;126;6;3.81;0.01;9.98;;
RO;40-49;Females;PT≥100;126;4;1.72;0;7.12;;
RO;40-49;Total;PT≥100;252;10;2.68;0.07;6.5;;0.51904
RO;50-59;Males;PT≥100;126;3;0.68;0;5.6;;
RO;50-59;Females;PT≥100;126;7;4.85;0.67;11.34;;
RO;50-59;Total;PT≥100;252;10;2.68;0.07;6.5;;0.19864
RO;Total;Males;PT≥100;252;9;2.16;0;5.83;0.30638;
RO;Total;Females;PT≥100;252;11;3.2;0.45;7.17;0.35614;
RO;Total;Total;PT≥100;504;20;2.64;0.68;5.2;0;0.64704
SK;40-49;Males;PT≥100;125;10;8.06;2.87;15.47;;
SK;40-49;Females;PT≥100;125;8;5.96;1.4;12.82;;
SK;40-49;Total;PT≥100;250;18;6.93;3.26;11.73;;0.62536
SK;50-59;Males;PT≥100;125;3;0.7;0;5.66;;
SK;50-59;Females;PT≥100;125;9;7.01;2.13;14.15;;
SK;50-59;Total;PT≥100;250;12;3.78;0.85;7.9;;0.0733
SK;Total;Males;PT≥100;250;13;4.3;1.24;8.55;0.04358;
SK;Total;Females;PT≥100;250;17;6.4;2.85;11.1;0.8008;
SK;Total;Total;PT≥100;500;30;5.31;2.85;8.36;0.25878;0.45056
SI;40-49;Males;PT≥100;122;4;1.87;0;7.43;;
SI;40-49;Females;PT≥100;141;8;4.99;0.93;11.11;;
SI;40-49;Total;PT≥100;263;12;3.46;0.68;7.39;;0.36196
SI;50-59;Males;PT≥100;117;5;3.18;0;9.4;;
SI;50-59;Females;PT≥100;144;5;2.09;0;7.19;;
SI;50-59;Total;PT≥100;261;10;2.5;0;6.19;;0.7242
SI;Total;Males;PT≥100;239;9;2.42;0;6.29;0.69604;
SI;Total;Females;PT≥100;285;13;3.45;0.76;7.2;0.37522;
SI;Total;Total;PT≥100;524;22;2.94;0.95;5.5;0.67406;0.657
SE;40-49;Males;PT≥100;124;7;4.97;0.73;11.56;;
SE;40-49;Females;PT≥100;129;9;6.71;1.98;13.65;;
SE;40-49;Total;PT≥100;253;16;5.78;2.38;10.31;;0.66812
SE;50-59;Males;PT≥100;114;5;3.33;0;9.71;;
SE;50-59;Females;PT≥100;137;5;2.33;0;7.68;;
SE;50-59;Total;PT≥100;251;10;2.7;0.08;6.53;;0.75426
