Antigen;Country;Age_group;Sex;GMC;lower;upper;p_value_Age_group;p_value_Sex
Dt;SI;40-49;Total;0.1764292583191862;0.1440971752791143;0.21601591516811489;;0.7742138874693647
Dt;SI;50-59;Males;0.14295211035112654;0.1057487673457493;0.19324391543049113;;
Dt;SI;50-59;Females;0.09698748669759269;0.07391120572526255;0.12726855804356865;;
Dt;SI;50-59;Total;0.11540879884789246;0.0941862667707869;0.14141330056033627;;0.060996909451889327
Dt;SI;Total;Males;0.15661153294090377;0.12658844024846705;0.19375522916593335;0.40622037708787306;
Dt;SI;Total;Females;0.13217713413280072;0.1087712001192707;0.1606196747705566;0.001503184841415404;
Dt;SI;Total;Total;0.14280931720936862;0.12350373182936501;0.16513267072758156;0.0037322069753042246;0.24927119726062144
Dt;SE;40-49;Males;0.09295598318412626;0.06936029889580467;0.12457868474165719;;
Dt;SE;40-49;Females;0.05280807081221791;0.03962987743324532;0.07036843219123358;;
Dt;SE;40-49;Total;0.06967262521480032;0.056679553161911;0.08564419501429893;;0.0068830896878650134
Dt;SE;50-59;Males;0.05202111665016212;0.03833125420857635;0.0706002616769133;;
Dt;SE;50-59;Females;0.044717715818509515;0.03384519435689004;0.05908295538027815;;
Dt;SE;50-59;Total;0.04789823152571459;0.03893384682655836;0.05892663505641483;;0.47314336003848734
Dt;SE;Total;Males;0.0703922227833333;0.056872328655097705;0.08712611467746335;0.007169583612036788;
Dt;SE;Total;Females;0.048473450068621984;0.03961783259020466;0.05930852870876474;0.4151575802724785;
Dt;SE;Total;Total;0.05781143225816933;0.04985376075205582;0.06703930955907034;0.012035594429653552;0.012754688054047553
Dt;UK;40-49;Males;0.03920173233507154;0.029483774698806288;0.052122763579956856;;
Dt;UK;40-49;Females;0.029133653226247648;0.02160650284296901;0.039283069383134764;;
Dt;UK;40-49;Total;0.03403642597287409;0.027654893010605693;0.041890536064003565;;0.15883275047495637
Dt;UK;50-59;Males;0.025539105342267616;0.019165850956150445;0.03403166930472933;;
Dt;UK;50-59;Females;0.01696275964494152;0.012564267001982968;0.02290107450969042;;
Dt;UK;50-59;Total;0.020909313582415035;0.01698192511529403;0.02574498424174663;;0.05349340384445908
Dt;UK;Total;Males;0.031693575509207664;0.025843591163462114;0.03886776888724327;0.03784037845315742;
Dt;UK;Total;Females;0.022255701807036902;0.017973076492766287;0.027558791235495938;0.012335419745529225;
Dt;UK;Total;Total;0.02669032679686677;0.02299940851283023;0.030973559347239155;0.001160264650634133;0.019040553093988263
PT;AT;40-49;Males;11.20239273304238;8.511169266423803;14.74457844944849;;
PT;AT;40-49;Females;12.208787616959375;9.626258924527196;15.484156019971339;;
PT;AT;40-49;Total;11.76743239945613;9.818657881675787;14.102993193621309;;0.6425107249272797
PT;AT;50-59;Males;10.030700284578307;7.686543705064588;13.089751656878645;;
PT;AT;50-59;Females;6.335384560519423;4.965180502274247;8.083713675924473;;
PT;AT;50-59;Total;7.8121676360948955;6.518414444994882;9.362700652044293;;0.012583428629662583
PT;AT;Total;Males;10.581839426099167;8.73648093634108;12.816982770941987;0.5713348655306991;
PT;AT;Total;Females;8.867409588776384;7.476978955121384;10.516406865270742;1.5931208946231388e-4;
PT;AT;Total;Total;9.587969261056562;8.434052351705713;10.899760959199364;0.0017165561996884545;0.17685345365642066
PT;BE;40-49;Males;13.285784792982826;9.970270135037055;17.703841036880565;;
PT;BE;40-49;Females;11.33842382983707;9.01762610570473;14.25650758171129;;
PT;BE;40-49;Total;12.059288063183544;10.069426330414926;14.442374750940614;;0.39757109371567334
PT;BE;50-59;Males;13.067188244862725;9.9151448866091;17.221272162879526;;
PT;BE;50-59;Females;11.942409018620538;9.439367044776233;15.109183962388242;;
PT;BE;50-59;Total;12.403225716200868;10.356612011789172;14.854279371661974;;0.6266175801392107
PT;BE;Total;Males;13.17174773875621;10.789975529258532;16.079270803068408;0.9349227960774028;
PT;BE;Total;Females;11.628448952749281;9.86485441712981;13.707331028818011;0.756650329975454;
PT;BE;Total;Total;12.230047907688332;10.763642165368438;13.89623229073891;0.8288770928924472;0.3447321961645369
PT;DK;40-49;Males;11.464652432853889;8.900270672323431;14.767894173698247;;
PT;DK;40-49;Females;10.241280787699658;7.92617626171118;13.232588919220273;;
PT;DK;40-49;Total;10.843083541263969;9.044102736954773;12.999903263197256;;0.5392129604401619
PT;DK;50-59;Males;13.693084071148277;10.630252882578061;17.6383904927445;;
PT;DK;50-59;Females;12.789238891179037;9.82302914371581;16.65113978820732;;
PT;DK;50-59;Total;13.252131181853155;11.024706755743068;15.92958295870863;;0.7143478740354996
PT;DK;Total;Males;12.52942335502974;10.471125212903836;14.99231901229739;0.3308756147632961;
PT;DK;Total;Females;11.407394129844464;9.48761681048857;13.715629902943867;0.23643348824384092;
PT;DK;Total;Total;11.970110364235865;10.517190282288542;13.623747244859045;0.1280595910589424;0.47464771724931276
PT;FI;40-49;Males;7.684817063131751;5.902476497435133;10.00536187132017;;
PT;FI;40-49;Females;7.190654679751435;5.6252727187513685;9.191645864755191;;
PT;FI;40-49;Total;7.415865416883903;6.187742827254257;8.88774168814933;;0.7177524152431825
PT;FI;50-59;Males;10.979537554676236;8.413639415103377;14.327954760949856;;
PT;FI;50-59;Females;6.173552215143678;4.838348926665664;7.877221657796125;;
PT;FI;50-59;Total;8.027077102193791;6.69773330160936;9.620264633272484;;0.0017696157959074072
PT;FI;Total;Males;9.171388555247335;7.600724940916969;11.066624392432502;0.062077209607334;
